Clanmate, Clan Rank, Total XP, Kills
IceKrystalx,Owner,781412082,0
ETK Br34an,Deputy Owner,631185639,4
Icekro,Deputy Owner,1617492461,0
eMaG dNiM,Overseer,842708868,0
eMaG NoRi,Overseer,215988859,0
D Wrath Jr,Organiser,64705380,0
EllieRoses,Organiser,558785552,0
Drizzt Wrath,Organiser,1693442688,3
Tigervu,Organiser,397718010,0
ETK Ellie,Organiser,911367,0
Deathmall,Admin,700049379,0
wahtdaef,Admin,963635459,11
Vivia,Admin,139624564,0
Sheivot,General,2131530509,0
Hera Selene,General,762211562,0
Aczinor9,General,1105631793,0
Mechchaser0,General,1067726963,0
Cerene,General,1284241604,5
Crideceon,General,651301174,0
CorruptVicar,General,563832556,0
Trimmed,General,1782333401,1
ETK Onyx,General,392319583,0
Gunmaster422,General,418535817,1
MaleficentMe,General,501456881,2
Iv99roidmage,General,1175951711,1
Raime,General,1721428581,0
ETK Brisingr,General,230862048,4
MyFinestDays,General,2271129450,84
Daretoachv,General,320145907,0
Fireboy509,General,644188357,0
cerene1,General,180838384,0
HisKageness,General,363025051,1
Sticky Pears,General,610497820,0
MiniCraz,General,200070216,0
Glacyte,Captain,665976905,0
ETK Panda,Captain,161437723,0
KitKatElaina,Captain,174452346,0
iLuthonic,Captain,754142984,3
Ms ETK,Captain,84323910,0
Combustive,Captain,175256214,0
Alhifar,Captain,396154777,0
Kairomitsu,Captain,142144862,0
N E R V,Captain,246916683,5
Jyxxe,Captain,159727608,0
Mail Call,Captain,79969910,0
P_of_death,Captain,326398906,0
ETK Prince,Captain,126634158,31
Mitsyangel,Captain,675023583,0
Hey Cheyenne,Captain,208293628,0
EazyUK,Captain,199223509,0
Seshomarou,Captain,297259171,0
Rubin McLit,Captain,312474776,0
Mr Kumlin,Captain,119690462,0
Iristelessa,Captain,369297775,0
ETK Canadian,Captain,356599243,0
Clifloku,Captain,1260383886,0
G0DWAR,Captain,161610971,12
Titanz Fall,Captain,57422531,0
ETK ThotGod,Captain,1218704736,0
ETK marshall,Captain,96721858,0
Brazinx69,Captain,145532876,0
Aggie 94,Captain,310758451,2
Austiin,Captain,183125815,0
FrogHam,Captain,948567606,0
Andalusia,Captain,214804149,0
Foreverr420,Captain,424690641,0
jothela,Captain,821252940,0
gision,Captain,530822783,0
ZeroArcanist,Captain,646548101,0
LethalSeraph,Captain,448551147,0
Osva Labas,Captain,96076221,1
Bumo,Captain,254129150,177
X1 Noodle,Captain,611367825,0
AshNicTay,Captain,188871072,0
Kaezarh,Captain,20816531,1
SpeedRacerX1,Captain,416208749,0
PandaDudes,Lieutenant,72492513,0
VaticanCameo,Lieutenant,118587164,0
Kyremm,Lieutenant,98473312,0
Madhura01,Lieutenant,415298544,0
Hamuod,Lieutenant,1157109571,4
Alex_853,Lieutenant,68250977,0
SkillerJay03,Lieutenant,125690586,0
Im Just Fat,Lieutenant,67007016,0
xPathsOfPain,Lieutenant,72363881,0
Lord Mager,Lieutenant,133550301,0
IceNooby,Lieutenant,55283404,0
Warnch,Lieutenant,322994865,0
Lilo Kuo,Lieutenant,123921749,0
Sammie2532,Sergeant,73025119,0
Corgee,Sergeant,85132211,0
garh1993,Sergeant,261651281,0
SteakAndEggs,Sergeant,97757981,0
Frankibidou,Sergeant,41319191,0
FlameFox XDD,Corporal,28467758,0
Reaper Joe,Corporal,26193071,10
Packaging,Corporal,35208704,0
Ben7196,Corporal,65108801,0
tuskawraith,Corporal,12535369,0
Shania Loves,Corporal,8238447,0
Zorrezias,Corporal,64227938,0
Matti K,Corporal,165765854,0
Fluffehhlove,Recruit,102568,0
HCIMBane,Recruit,930037,0
Erika Lynne,Recruit,6581068,0
Mr-Dimmadome,Recruit,6003,0
Tovarius,Recruit,27956511,0
StrownsT9,Recruit,631918,0
HCFireboy509,Recruit,180358,0
Qlydde,Recruit,6747,0
JennaTalia9,Recruit,53993,0
C9 Atrane,Recruit,0,0
Zintosso,Recruit,1217846,0
Shinocksa50,Recruit,32069803,5
CreatureSoul,Recruit,18268408,0
Ironman Vozy,Recruit,469182,0
Hayki,Recruit,4152699,0
Vegeta xzx,Recruit,351,0
Buying IRLGF,Recruit,2676750,0
Jalopi34,Recruit,2245411,0
R1ngg,Recruit,53713,0
X1 Noodle Jr,Recruit,0,0
frostyblue7,Recruit,512537,0
Joaqoon,Recruit,13787,0
iVodkai,Recruit,132599,0
Gravefish980,Recruit,3258523,0
